##T[K]	p[bar]	E[V/mm]	v[mm/ms]	dL[mm^1/2]	dT[mm^1/2]
293.15	18	100	2580.31	0.0228276	0.0283487
293.15	18	110	2748.81	0.0230902	0.0280762
293.15	18	120	2905.42	0.0217266	0.0266068
293.15	18	130	3052.6	0.0208904	0.0262222
293.15	18	140	3192.39	0.0207929	0.0262892
293.15	18	150	3309.04	0.0204854	0.0259562
293.15	18	160	3439.12	0.0195558	0.0257226
293.15	18	170	3548.36	0.0185766	0.0252664
293.15	18	180	3655.24	0.0186858	0.0252634
293.15	18	190	3771.44	0.0191066	0.0245172
293.15	18	200	3857.9	0.0179321	0.0244954
293.15	18	210	3961.8	0.0177616	0.0248644
293.15	18	220	4037.77	0.0178352	0.0246904
293.15	18	230	4127.98	0.0180851	0.0241548
293.15	18	240	4211.15	0.0173568	0.0240441
293.15	18	250	4286.84	0.0172498	0.024162
293.15	18	260	4362.23	0.0172658	0.023855
293.15	18	270	4438.45	0.016947	0.0240431
293.15	18	280	4506.42	0.0173053	0.0231733
293.15	18	290	4581.35	0.0162576	0.024275
293.15	18	300	4635.39	0.0169219	0.0233126
293.15	18	310	4709.42	0.0167245	0.023446
293.15	18	320	4778.27	0.0161031	0.0235088
293.15	18	330	4834.96	0.0163346	0.0237695
293.15	18	340	4886.52	0.0163524	0.0236597
293.15	18	350	4945.55	0.0157318	0.0235573
293.15	18	360	4998.84	0.0161707	0.0231091
293.15	18	370	5059.87	0.0163308	0.0230019
293.15	18	380	5109.29	0.0156856	0.0237727
293.15	18	390	5165.87	0.0155374	0.0234353
293.15	18	400	5212.27	0.015057	0.0229993
293.15	23	100	2188.35	0.022449	0.0266158
293.15	23	110	2338.5	0.0219383	0.0256027
293.15	23	120	2484.63	0.0214555	0.0246486
293.15	23	130	2621.17	0.0206182	0.0246936
293.15	23	140	2749.39	0.0198666	0.0242975
293.15	23	150	2867.5	0.0189835	0.0238918
293.15	23	160	2977.39	0.0190058	0.0237427
293.15	23	170	3099.5	0.018263	0.022508
293.15	23	180	3202.41	0.0175451	0.0229207
293.15	23	190	3300.28	0.0178264	0.0229884
293.15	23	200	3394.68	0.0176148	0.022974
293.15	23	210	3482.91	0.0167785	0.0227717
293.15	23	220	3573.06	0.016753	0.022191
293.15	23	230	3654.84	0.016865	0.0222414
293.15	23	240	3739.91	0.0166621	0.0218709
293.15	23	250	3818.58	0.0158445	0.0217184
293.15	23	260	3891.26	0.015562	0.0219332
293.15	23	270	3965.96	0.0161665	0.0215872
293.15	23	280	4032.83	0.0157299	0.0219112
293.15	23	290	4102.91	0.0156258	0.0215965
293.15	23	300	4170.91	0.0156536	0.0214769
293.15	23	310	4231.34	0.0149826	0.0209526
293.15	23	320	4293.91	0.0155349	0.0210296
293.15	23	330	4352.82	0.0151649	0.0212812
293.15	23	340	4409.76	0.0151569	0.0206727
293.15	23	350	4469.15	0.0147156	0.0210492
293.15	23	360	4525.57	0.0150046	0.0212577
293.15	23	370	4571.44	0.0149017	0.021327
293.15	23	380	4625.17	0.0146278	0.0208405
293.15	23	390	4667.81	0.0146576	0.0205404
293.15	23	400	4720.13	0.0144144	0.0207398
293.15	22	100	2257.94	0.022144	0.0265314
293.15	22	110	2415.31	0.0227259	0.0258547
293.15	22	120	2562.4	0.0215168	0.0255172
293.15	22	130	2698.41	0.0204459	0.0249068
293.15	22	140	2821.83	0.0195049	0.024166
293.15	22	150	2941.21	0.0193325	0.0243152
293.15	22	160	3057.53	0.0188618	0.0235759
293.15	22	170	3174.16	0.0186021	0.0237486
293.15	22	180	3289.36	0.0180126	0.0232977
293.15	22	190	3385.44	0.0176513	0.02288
293.15	22	200	3479.62	0.0175847	0.0227584
293.15	22	210	3569.05	0.0170371	0.0222274
293.15	22	220	3659.34	0.0172907	0.0223176
293.15	22	230	3745.02	0.0172619	0.0228696
293.15	22	240	3827.2	0.0166948	0.0220624
293.15	22	250	3897.62	0.0168857	0.0221157
293.15	22	260	3971.8	0.0158742	0.02211
293.15	22	270	4047.7	0.0164877	0.0223326
293.15	22	280	4120.43	0.0157149	0.0220181
293.15	22	290	4180.1	0.0160334	0.0217037
293.15	22	300	4259.77	0.015319	0.0217179
293.15	22	310	4318.16	0.0159461	0.0211663
293.15	22	320	4381.1	0.0152518	0.0214772
293.15	22	330	4436.37	0.0149976	0.02105
293.15	22	340	4493.35	0.0151272	0.0213313
293.15	22	350	4550.05	0.014814	0.0214585
293.15	22	360	4614.56	0.0150017	0.0208841
293.15	22	370	4661.03	0.0151405	0.021316
293.15	22	380	4715.83	0.015055	0.021733
293.15	22	390	4765.74	0.0146329	0.021024
293.15	22	400	4808.96	0.0147161	0.0212762
293.15	25	100	2057.35	0.0216986	0.0263677
293.15	25	110	2208.53	0.0222281	0.0249489
293.15	25	120	2348.02	0.0211051	0.0244735
293.15	25	130	2483.37	0.0207524	0.0245294
293.15	25	140	2602.05	0.0195318	0.0240371
293.15	25	150	2722.88	0.0190081	0.0233437
293.15	25	160	2829.55	0.0183344	0.0235584
293.15	25	170	2945.59	0.0185225	0.0230106
293.15	25	180	3050.85	0.0182261	0.0228305
293.15	25	190	3145.21	0.0173577	0.0223068
293.15	25	200	3238.41	0.0171138	0.0222023
293.15	25	210	3327.08	0.0167096	0.0224772
293.15	25	220	3413.12	0.01656	0.0212663
293.15	25	230	3498.09	0.0168887	0.0219229
293.15	25	240	3579.5	0.0160626	0.021433
293.15	25	250	3654.69	0.0165369	0.021239
293.15	25	260	3731.84	0.0151987	0.0210472
293.15	25	270	3795.76	0.0162314	0.0209404
293.15	25	280	3881.91	0.0150378	0.0216107
293.15	25	290	3939.49	0.0157248	0.0206067
293.15	25	300	4012.29	0.0148337	0.0205479
293.15	25	310	4078.17	0.0158726	0.0203505
293.15	25	320	4130.7	0.0146818	0.0205294
293.15	25	330	4191.53	0.0148755	0.0205849
293.15	25	340	4248.29	0.0147979	0.0202416
293.15	25	350	4303.84	0.0143357	0.0200924
293.15	25	360	4367.84	0.0145906	0.0205404
293.15	25	370	4406.13	0.015011	0.0201788
293.15	25	380	4465.07	0.0140457	0.0202792
293.15	25	390	4508.15	0.0138348	0.0201091
