##T[K]	p[bar]	E[V/mm]	v[mm/ms]	dL[mm^1/2]	dT[mm^1/2]
293.15	30	100	2163.78	0.0232478	0.0301181
293.15	30	110	2281.65	0.0231355	0.0299641
293.15	30	120	2399.27	0.0232154	0.0306697
293.15	30	130	2517.41	0.0225417	0.0299211
293.15	30	140	2628.66	0.0226111	0.0290781
293.15	30	150	2724.19	0.021595	0.0290862
293.15	30	160	2817.72	0.021357	0.0288767
293.15	30	170	2906.7	0.0208084	0.0289425
293.15	30	180	2995.06	0.0201947	0.0290376
293.15	30	190	3090.4	0.019924	0.0286222
293.15	30	200	3166.14	0.0195143	0.0282357
293.15	30	210	3253.76	0.0204849	0.02914
293.15	30	220	3315.84	0.0203192	0.0286929
293.15	30	230	3397.56	0.0199391	0.0279075
293.15	30	240	3471.96	0.0202089	0.0283254
293.15	30	250	3533.07	0.0195903	0.0284226
293.15	30	260	3597.8	0.0192737	0.0276703
293.15	30	270	3658.99	0.0199432	0.0272367
293.15	30	280	3724.78	0.0189604	0.0279021
293.15	30	290	3795.2	0.019458	0.0278338
293.15	30	300	3843.25	0.0196701	0.0272645
293.15	30	310	3907.63	0.0193095	0.0273914
293.15	30	320	3974.13	0.0196935	0.0271033
293.15	30	330	4029.16	0.0195007	0.0273674
293.15	30	340	4081.04	0.0192556	0.0277283
293.15	30	350	4136.57	0.0186926	0.0277083
293.15	30	360	4190.51	0.0188696	0.0272718
293.15	30	370	4250.96	0.0193375	0.0273604
293.15	30	380	4296.29	0.0192399	0.0280299
293.15	30	390	4342.47	0.0189304	0.027128
293.15	30	400	4407.82	0.0187477	0.0271861
293.15	28	100	2248.95	0.0238156	0.0319593
293.15	28	110	2370.29	0.0236711	0.0313872
293.15	28	120	2497.66	0.023333	0.0305422
293.15	28	130	2613.71	0.0228456	0.0300935
293.15	28	140	2729.03	0.0225576	0.0300214
293.15	28	150	2828.64	0.0220463	0.0296757
293.15	28	160	2915.35	0.0221618	0.0296474
293.15	28	170	3021.59	0.022012	0.0299177
293.15	28	180	3105.27	0.0207388	0.0295016
293.15	28	190	3197.4	0.0208742	0.0294487
293.15	28	200	3282.82	0.0203592	0.028946
293.15	28	210	3370.95	0.0202338	0.0294504
293.15	28	220	3439.69	0.0210461	0.0293756
293.15	28	230	3508.83	0.0199749	0.0296123
293.15	28	240	3586.16	0.0200847	0.0291632
293.15	28	250	3646.27	0.0202524	0.0291078
293.15	28	260	3719.04	0.0201137	0.0286217
293.15	28	270	3790.59	0.0206719	0.0284007
293.15	28	280	3850.34	0.0196739	0.0285414
293.15	28	290	3906.08	0.0202564	0.0285562
293.15	28	300	3973.53	0.0209883	0.0285916
293.15	28	310	4038.29	0.0200878	0.0290785
293.15	28	320	4096.57	0.0200227	0.0280706
293.15	28	330	4152.6	0.0194555	0.0285452
293.15	28	340	4210.64	0.0192708	0.0284178
293.15	28	350	4272.19	0.0196055	0.0289409
293.15	28	360	4327.04	0.0192858	0.0288989
293.15	28	370	4387.96	0.0195	0.0280738
293.15	28	380	4439.28	0.0197778	0.028435
293.15	28	390	4483.87	0.0193192	0.0284213
293.15	28	400	4551.4	0.0196321	0.0278893
293.15	8	100	4275.11	0.0364823	0.0520894
293.15	8	110	4464.22	0.037377	0.052759
293.15	8	120	4649.54	0.0369135	0.0527549
293.15	8	130	4828.96	0.0358368	0.0517448
293.15	8	140	5009.62	0.0367908	0.0525096
293.15	8	150	5184.24	0.0366324	0.0506428
293.15	8	160	5337.17	0.03636	0.050857
293.15	8	170	5483.93	0.0359303	0.0526724
293.15	8	180	5664.56	0.0354625	0.0511407
293.15	8	190	5812.59	0.0351975	0.0508195
293.15	8	200	5977.97	0.0352957	0.0500313
293.15	8	210	6132.35	0.0349032	0.0495595
293.15	8	220	6298.33	0.035154	0.0494635
293.15	8	230	6440.21	0.0355834	0.0506412
293.15	8	240	6585.46	0.0360651	0.048824
293.15	8	250	6737	0.0348209	0.0487848
293.15	8	260	6891.77	0.0337523	0.0493483
293.15	8	270	7025.16	0.0364455	0.0481815
293.15	8	280	7168.47	0.0344721	0.0489047
293.15	8	290	7312.18	0.0336876	0.0480919
293.15	8	300	7459.37	0.0353201	0.0482178
293.15	8	310	7595.94	0.0345454	0.0482005
293.15	8	320	7730.58	0.0339575	0.0468894
293.15	8	330	7886.13	0.0339915	0.0469587
293.15	8	340	8000.1	0.0345291	0.0473555
293.15	8	350	8138.47	0.0342892	0.0472512
293.15	8	360	8286.84	0.0331872	0.0459752
293.15	8	370	8418.06	0.0332045	0.0469329
293.15	8	380	8561.8	0.0346287	0.0466766
293.15	8	390	8672.84	0.0339179	0.0462217
293.15	8	400	8785.39	0.0341336	0.0456631
293.15	23	100	2516.01	0.0252865	0.033796
293.15	23	110	2657.81	0.0253846	0.0329536
293.15	23	120	2791.15	0.0254625	0.0337282
293.15	23	130	2914.11	0.024347	0.0329783
293.15	23	140	3033.6	0.023917	0.0327991
293.15	23	150	3122.19	0.0230843	0.0326109
293.15	23	160	3232.45	0.0240535	0.0330212
293.15	23	170	3328.08	0.0231668	0.032092
293.15	23	180	3428.02	0.0225888	0.0323802
293.15	23	190	3525.51	0.0227953	0.0317912
293.15	23	200	3611.74	0.0225023	0.0322255
293.15	23	210	3703.62	0.0225686	0.0321275
293.15	23	220	3771.77	0.0215182	0.0315889
293.15	23	230	3864.44	0.0222387	0.0311518
293.15	23	240	3926.38	0.0222342	0.0314589
293.15	23	250	4007.78	0.0216774	0.0313463
293.15	23	260	4082.63	0.0219534	0.0315338
293.15	23	270	4160.14	0.0216237	0.0313681
293.15	23	280	4217.84	0.0212101	0.0311033
293.15	23	290	4282.48	0.0214155	0.0315904
293.15	23	300	4341.35	0.0219007	0.0310522
293.15	23	310	4412.3	0.0215549	0.0310341
293.15	23	320	4485.98	0.0218472	0.0313633
293.15	23	330	4553.33	0.021663	0.0313659
293.15	23	340	4606.22	0.0212273	0.0303167
293.15	23	350	4683	0.0215479	0.0311765
293.15	23	360	4750.11	0.0215092	0.0311082
293.15	23	370	4792.95	0.0215854	0.0309017
293.15	23	380	4866.37	0.0220067	0.0304746
293.15	23	390	4914.56	0.0214851	0.030892
293.15	23	400	4984.59	0.0207867	0.0304002
293.15	7	100	4545.33	0.038217	0.0562653
293.15	7	110	4756.29	0.0392837	0.0566921
293.15	7	120	4948.33	0.0389166	0.0555034
293.15	7	130	5147.99	0.0381335	0.0548622
293.15	7	140	5347.02	0.0384183	0.0557862
293.15	7	150	5527.38	0.0387368	0.0544082
293.15	7	160	5699.89	0.0378378	0.055187
293.15	7	170	5892.36	0.0392086	0.0542227
293.15	7	180	6060.16	0.0380199	0.0541144
293.15	7	190	6239.39	0.03794	0.0538152
293.15	7	200	6417.17	0.0389667	0.0541431
293.15	7	210	6593.93	0.0376278	0.0524219
293.15	7	220	6762.95	0.0375902	0.0519695
293.15	7	230	6929.7	0.0368057	0.05217
293.15	7	240	7108.02	0.0367893	0.0521965
293.15	7	250	7246.49	0.0383874	0.0514111
293.15	7	260	7426.96	0.0371421	0.0507464
293.15	7	270	7576.88	0.0368752	0.0514331
293.15	7	280	7734.39	0.037552	0.0513942
293.15	7	290	7895.06	0.0365466	0.0498834
293.15	7	300	8061.75	0.0377541	0.0500718
293.15	7	310	8183.96	0.036376	0.0495214
293.15	7	320	8358.9	0.0363244	0.049583
293.15	7	330	8517.37	0.0368526	0.0495882
293.15	7	340	8654.17	0.0353717	0.0499405
293.15	7	350	8800.07	0.0364277	0.0477665
293.15	7	360	8964.38	0.035187	0.0482889
293.15	7	370	9101.27	0.035688	0.0494395
293.15	7	380	9250.26	0.0362898	0.0477906
293.15	7	390	9388.09	0.0348557	0.0490661
293.15	7	400	9518.65	0.0356976	0.0486346
293.15	21	100	2650.38	0.0258702	0.0352735
293.15	21	110	2794.68	0.0258951	0.0344113
293.15	21	120	2920.81	0.0251003	0.034115
293.15	21	130	3050.35	0.0249793	0.0340621
293.15	21	140	3170.13	0.0248937	0.0336226
293.15	21	150	3281.85	0.0243145	0.0343296
293.15	21	160	3383.09	0.0240284	0.0331184
293.15	21	170	3489.23	0.0236195	0.033727
293.15	21	180	3579.53	0.0235997	0.0341623
293.15	21	190	3672.06	0.0234125	0.0340423
293.15	21	200	3763.76	0.0229905	0.0326197
293.15	21	210	3869.23	0.0235565	0.0330843
293.15	21	220	3943.26	0.0234947	0.03262
293.15	21	230	4020.47	0.0223907	0.0327667
293.15	21	240	4100.66	0.0224669	0.0330249
293.15	21	250	4176.86	0.0223955	0.0333879
293.15	21	260	4248.12	0.022724	0.0325795
293.15	21	270	4333.58	0.022921	0.0330062
293.15	21	280	4394.62	0.0225721	0.0327274
293.15	21	290	4472.57	0.0226369	0.0323738
293.15	21	300	4536.71	0.0225176	0.032335
293.15	21	310	4617.14	0.0223575	0.0327027
293.15	21	320	4678.21	0.0224403	0.0326987
293.15	21	330	4746.54	0.0225696	0.032622
293.15	21	340	4820.5	0.0218469	0.0322496
293.15	21	350	4884.18	0.0217796	0.0317147
293.15	21	360	4944.85	0.0217669	0.0324834
293.15	21	370	5020.22	0.0228591	0.0319813
